project_id	summary.case_count
TCGA-ACC	92
TCGA-BLCA	412
TCGA-BRCA	1098
TCGA-CESC	307
TCGA-CHOL	51
TCGA-COAD	461
TCGA-DLBC	58
TCGA-ESCA	185
TCGA-GBM	617
TCGA-HNSC	528
TCGA-KICH	113
TCGA-KIRC	537
TCGA-KIRP	291
TCGA-LAML	200
TCGA-LGG	516
TCGA-LIHC	377
TCGA-LUAD	585
TCGA-LUSC	504
TCGA-MESO	87
TCGA-OV	608
TCGA-PAAD	185
TCGA-PCPG	179
TCGA-PRAD	500
TCGA-READ	172
TCGA-SARC	261
TCGA-SKCM	470
TCGA-STAD	443
TCGA-TGCT	150
TCGA-THCA	507
TCGA-THYM	124
TCGA-UCEC	560
TCGA-UCS	57
TCGA-UVM	80
